ts_event,side,size,price,symbol,range
2022-08-25,B,6182424850.0,114.66319532691104,GOOGL,below_mean_range
2022-08-25,B,6622125900.0,116.45801951779544,GOOGL,above_mean_range
2022-08-25,N,10787558771.0,115.25440168754817,GOOGL,mean_range
2022-08-25,N,6139888986.0,114.45891284815862,GOOGL,below_mean_range
2022-08-25,N,6487429872.0,116.21945790816301,GOOGL,above_mean_range
2022-08-26,B,14954064100.0,112.14969470945469,GOOGL,mean_range
2022-08-26,B,42403137180.0,111.2245286596938,GOOGL,below_mean_range
2022-08-26,B,5864898340.0,113.38543564794352,GOOGL,above_mean_range
2022-08-26,A,29727549577.0,111.9970836539526,GOOGL,mean_range
2022-08-26,A,69984082856.0,111.1152745610744,GOOGL,below_mean_range
2022-08-26,A,10911321099.0,113.09887990416301,GOOGL,above_mean_range
2022-08-26,N,7640218872.0,112.50493783993781,GOOGL,mean_range
2022-08-26,N,26892145680.0,111.58249227373105,GOOGL,below_mean_range
2022-08-26,N,10430353192.0,113.73903528742173,GOOGL,above_mean_range
2022-08-29,B,40981361858.0,109.87524673583438,GOOGL,mean_range
2022-08-29,B,8027827028.0,109.1759202577532,GOOGL,below_mean_range
2022-08-29,B,6044310362.0,110.57557368280219,GOOGL,above_mean_range
2022-08-29,N,34326994192.0,109.84808377979103,GOOGL,mean_range
2022-08-29,N,7242088928.0,109.1427232924695,GOOGL,below_mean_range
2022-08-29,N,6030846384.0,110.56927181913746,GOOGL,above_mean_range
2022-08-29,A,43993402096.0,109.85773651909241,GOOGL,mean_range
2022-08-29,A,9939143184.0,109.12125064069738,GOOGL,below_mean_range
2022-08-29,A,8169693808.0,110.56636458116833,GOOGL,above_mean_range
2022-08-30,A,53095775438.0,108.75059214233481,GOOGL,mean_range
2022-08-30,A,15249913765.0,108.1107540294319,GOOGL,below_mean_range
2022-08-30,A,15093888018.0,109.70928773718303,GOOGL,above_mean_range
2022-08-30,N,19631335084.0,108.86258245426593,GOOGL,mean_range
2022-08-30,N,7968922240.0,108.28104276315747,GOOGL,below_mean_range
2022-08-30,N,6272904908.0,109.88170079398219,GOOGL,above_mean_range
2022-08-30,B,25534193052.0,108.80255685733906,GOOGL,mean_range
2022-08-30,B,6877748990.0,108.19577825159979,GOOGL,below_mean_range
2022-08-30,B,7608051548.0,109.74868928295919,GOOGL,above_mean_range
2022-08-31,N,59022724288.0,109.41573210473146,GOOGL,mean_range
2022-08-31,N,23936735808.0,108.53851205320011,GOOGL,below_mean_range
2022-08-31,N,25150485504.0,110.38838607594911,GOOGL,above_mean_range
2022-08-31,B,33055023252.0,109.36353719366369,GOOGL,mean_range
2022-08-31,B,7532545149.0,108.5127765881508,GOOGL,below_mean_range
2022-08-31,B,8844423105.0,110.29066261398218,GOOGL,above_mean_range
2022-08-31,A,46873402161.0,109.29827257065445,GOOGL,mean_range
2022-08-31,A,10737865560.0,108.39380487804907,GOOGL,below_mean_range
2022-08-31,A,12529692313.0,110.19069325901249,GOOGL,above_mean_range
2022-09-01,N,36733644864.0,108.80182560790472,GOOGL,mean_range
2022-09-01,N,21636144738.0,107.86333091436747,GOOGL,below_mean_range
2022-09-01,N,16290785322.0,109.60249303919346,GOOGL,above_mean_range
2022-09-01,B,34839087192.0,108.82193739526068,GOOGL,mean_range
2022-09-01,B,22536560592.0,107.84314396742977,GOOGL,below_mean_range
2022-09-01,B,18687329388.0,109.5631488507039,GOOGL,above_mean_range
2022-09-01,A,39667505977.0,108.6936706689531,GOOGL,mean_range
2022-09-01,A,26667415350.0,107.79019753086915,GOOGL,below_mean_range
2022-09-01,A,20153103518.0,109.50172075800697,GOOGL,above_mean_range
2022-09-02,B,9709905768.0,109.02171300081726,GOOGL,mean_range
2022-09-02,B,25636374264.0,107.87364741405979,GOOGL,below_mean_range
2022-09-02,B,16253969406.0,110.0296922701177,GOOGL,above_mean_range
2022-09-02,A,11896608134.0,109.09167147493692,GOOGL,mean_range
2022-09-02,A,26695508155.0,107.9066838087591,GOOGL,below_mean_range
2022-09-02,A,26101321272.0,110.11442389874944,GOOGL,above_mean_range
2022-09-02,N,9085357017.0,109.16889241846651,GOOGL,mean_range
2022-09-02,N,19113497799.0,107.93093114556076,GOOGL,below_mean_range
